trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-75.58747257054809,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",30,0,-113.97525440867994,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-108.08586112415465,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-113.3856328138919,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-86.94757159095217,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,12,-34.28940679072332,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,7,-23.850476523564527,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,0,-68.01309070151913,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-18.519933677952643,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,1,-24.863475456602416,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,16,5.883032741786659,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",25,0,-80.83622262770264,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,7,-31.13336471806647,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,3,-85.7290276180151,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,8,-35.81493459453217,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-20.21074466643535,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,0,-28.749352523627305,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,-26.751258302929543,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,1,-78.35180178062247,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-28.23177265040682,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-65.48883850951378,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-41.734653490102055,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,14,-21.849228623019272,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,12,-27.110666468479575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,0,3.5970490823172474,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,17,1.2415776333391308,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,2,28.878724267805296,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,0,7.274825187382108,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",35,0,-55.065592348443126,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,12,-1.207142886626042,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,0,-170.63067360713023,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,6,-21.04718378357122,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,1,-4.222878086938351,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,6,-46.12553016644436,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,6,-66.90416238030285,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",25,14,-24.705493317418956,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,3,-81.3871027736313,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 2}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,13,13.863952994570027,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",30,5,-21.534379046015463,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,3,-11.057834317301477,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-19.075987487631828,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,14,-32.32877459616328,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,4,-25.323396298996492,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,15,17.185021721894834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,14,7.554569301518578,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,13,10.290114231749843,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,9,-25.070467874301336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,0,5.530007464171007,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",20,6,21.424944243063802,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,11,-1.6082404661900211,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,7,17.86777679729611,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,14,14.480527869543693,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,7,-5.0466581422675425,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,19,1.402524273575164,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,6,21.906276198983804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,7,20.646060943356364,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,2,37.06671153835535,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",30,19,-0.8368905688106132,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",35,21,15.056067359058897,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,10,-33.285771014245675,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,13,15.120561432192357,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,12,16.98973846930854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,9,28.743345847130744,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,3,20.029146873288948,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",35,17,23.445287882646955,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,6,2.032525363936906,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,5,14.999592269416889,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,13,6.006597326621055,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,7,31.696599508797853,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,2,32.36156913547798,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,10,28.00546087624039,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,10,21.217432239392863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,14,-0.9414434867198607,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
